LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
IN,2019,Overall,43.349999999999994,31.4,31.0,70.9,1
IN,2019,"White, non-Hispanic",42.900000000000006,31.85,31.55,69.9,1
IN,2021,"Asian, non-Hispanic",14.0,28.85,28.55,,0
IN,2021,"Black, non-Hispanic",54.05,28.8,28.4,76.85,1
IN,2021,Female,40.0,31.4,31.05,74.25,0
IN,2021,Hispanic,26.45,23.75,23.7,55.0,0
IN,2021,Male,46.3,34.85,34.45,70.45,1
IN,2021,Overall,43.0,32.95,32.65,72.35,1
IN,2021,"White, non-Hispanic",43.25,34.65,34.3,72.7,1
KS,2019,"American Indian or Alaska Native, non-Hispanic",40.099999999999994,36.849999999999994,36.7,,1
KS,2019,"Asian, non-Hispanic",23.3,25.3,25.049999999999997,,0
KS,2019,"Black, non-Hispanic",60.900000000000006,30.15,29.9,69.05,1
KS,2019,Female,38.6,31.5,31.2,71.1,0
KS,2019,Hispanic,29.0,27.65,27.25,61.05,0
KS,2019,Male,44.45,33.7,33.35,62.1,1
KS,2019,"Multiracial, non-Hispanic",49.15,35.25,35.05,52.3,1
KS,2019,Overall,41.55,32.6,32.3,65.9,1
KS,2019,"White, non-Hispanic",41.55,33.3,33.0,66.15,1
KS,2021,"American Indian or Alaska Native, non-Hispanic",48.849999999999994,30.55,30.55,62.1,1
KS,2021,"Asian, non-Hispanic",29.85,37.25,37.05,,0
KS,2021,"Black, non-Hispanic",54.25,33.45,33.3,78.6,1
KS,2021,Female,39.45,34.099999999999994,33.85,74.80000000000001,0
KS,2021,Hispanic,41.5,30.35,30.35,68.85,0
KS,2021,Male,45.75,37.95,37.7,68.75,1
KS,2021,"Multiracial, non-Hispanic",40.7,32.25,32.15,66.2,1
KS,2021,Overall,42.55,36.0,35.75,71.3,1
KS,2021,"White, non-Hispanic",42.45,36.9,36.6,71.6,1
KY,2019,"Black, non-Hispanic",55.05,32.7,32.650000000000006,85.4,1
KY,2019,Female,46.400000000000006,35.1,34.9,77.25,0
KY,2019,Hispanic,19.9,23.6,23.6,,0
KY,2019,Male,51.95,35.75,35.349999999999994,72.19999999999999,1
KY,2019,Overall,49.099999999999994,35.4,35.150000000000006,74.6,1
KY,2019,"White, non-Hispanic",49.4,36.35,36.099999999999994,73.75,1
KY,2021,"Black, non-Hispanic",59.6,30.7,30.7,70.35,1
